loss,acc
0.004640356540679931,9.0
0.002431568622589111,58.0
0.0016878334283828736,67.0
0.001252985954284668,78.0
0.0010463250875473022,80.0
0.001104721188545227,87.0
0.0008192095160484314,88.0
0.0007669324278831482,87.0
0.0007456247806549072,84.0
0.0007362870573997497,87.0
0.0005738201141357421,90.0
0.0004894737899303436,94.0
0.0004952204823493958,92.0
0.00041182610392570497,93.0
0.0005330445766448975,92.0
0.0004186027944087982,92.0
0.0003672361075878143,94.0
0.00042050781846046447,95.0
0.00025089430809020996,96.0
0.00028095099329948425,98.0
0.00045648688077926634,93.0
0.00031955093145370484,95.0
0.0002567822635173798,95.0
0.0005162153244018555,92.0
0.0002804783582687378,95.0
0.00027877578139305116,96.0
0.0001159340962767601,98.0
0.00016479858756065369,98.0
0.0001766730546951294,97.0
0.00026148247718811037,97.0
0.0002448073625564575,97.0
0.00014486971497535705,96.0
0.00024387586116790771,95.0
7.313660532236099e-05,98.0
0.00016012892127037048,96.0
0.0001349216103553772,98.0
0.00017826354503631592,95.0
0.00015169578790664672,98.0
0.0001861918866634369,97.0
0.00026141357421875,97.0
0.00017167919874191284,96.0
9.947874397039413e-05,98.0
0.0004217965304851532,93.0
0.00016960187256336213,97.0
0.00017567101120948792,95.0
3.5060286521911624e-05,100.0
0.00026828402280807496,97.0
4.9332264810800554e-05,98.0
0.00010564795136451721,97.0
0.00024173468351364137,96.0
0.00020781239867210388,97.0
5.229102447628975e-05,99.0
0.0001242794245481491,98.0
0.0002092558890581131,98.0
3.8411125540733335e-05,100.0
7.243727892637253e-05,98.0
5.075423792004585e-05,100.0
0.0003959222435951233,95.0
5.603308603167534e-05,99.0
5.60503751039505e-05,99.0
0.00018196630477905273,97.0
3.063478507101536e-05,100.0
3.261062130331993e-05,100.0
0.00011902792751789093,98.0
0.00011929120868444443,98.0
3.578589856624603e-05,100.0
0.00010111585259437562,98.0
7.005708664655686e-05,98.0
0.00016812673211097717,98.0
6.493406742811203e-05,98.0
0.0001267068088054657,99.0
3.098500706255436e-05,100.0
6.752340495586395e-05,99.0
0.00025799521803855895,95.0
0.0002698137164115906,96.0
4.018314182758331e-05,99.0
4.500444978475571e-05,99.0
4.472822695970535e-05,99.0
8.464767783880233e-05,99.0
8.525761961936951e-05,99.0
8.171835541725158e-05,98.0
0.0002613415420055389,98.0
0.00015129128098487855,98.0
1.6385197639465333e-05,100.0
0.00022297362983226776,98.0
3.181705623865127e-05,99.0
1.528836227953434e-05,100.0
0.0001810578405857086,99.0
1.947156898677349e-05,100.0
0.00013659359514713287,97.0
1.8947834149003027e-05,100.0
3.3236265182495115e-05,100.0
4.641587659716606e-05,99.0
2.7146058157086373e-05,100.0
1.126886811107397e-05,100.0
0.00012323331087827683,98.0
7.556845992803574e-05,99.0
2.795064449310303e-05,100.0
2.053523622453213e-05,100.0
2.8911462053656578e-05,100.0
